"term","estimate","std_error","z_value","p_value","irr","irr_ci_low","irr_ci_high"
"(Intercept)",-2.42666992440231,0.0789975320819037,-30.718300438631,3.24273280746473e-207,0.088330490570529,0.0756600433149397,0.103122800656522
"text_arousal_label煽动",0.281248430344654,0.167571259608088,1.67838107204322,0.0932727302984719,1.32478267927502,0.953904956805207,1.839857456224
"text_arousal_label说明",0.292361814820599,0.119967929178964,2.43699976169851,0.0148096891227883,1.33958761261892,1.0588936891607,1.69468851335246
"visual_arousal_label煽动",0.382203155169068,0.164771525940178,2.3195946811091,0.0203628138605343,1.46550978078002,1.06104149089207,2.02416110585477
"visual_arousal_label说明",0.400382989790559,0.0979835694525981,4.08622580323789,4.38447091965432e-05,1.49239616069504,1.23162593357576,1.80837885898601
"visual_segment_count",-0.00343082410158972,0.00207157397584066,-1.65614365772164,0.0976927299625746,0.996575054450737,0.99253687933177,1.00062965904314
"visual_total_duration",0.000678980966267217,0.000318398490863705,2.13248801659008,0.0329667485831813,1.00067921152602,1.0000549214323,1.00130389133646
"image_text_count",0.00140677136632407,0.00257695322207961,0.54590489042281,0.585131316547316,1.00140776133333,0.996362574568917,1.00647849493193
"publish_day_index",-0.00767952697278089,0.00214563830635693,-3.57913398079657,0.000344734706827612,0.992349885255656,0.988185369330251,0.996531951727175
"text_arousal_label煽动:visual_arousal_label煽动",0.0179013267510793,0.248636431356763,0.071998003886217,0.942603496398369,1.01806251589745,0.625361073344991,1.65736456977018
"text_arousal_label说明:visual_arousal_label煽动",-0.206450042077839,0.240999476762927,-0.856641038606591,0.391643298033194,0.813466899557904,0.507220724273507,1.30461624497726
"text_arousal_label煽动:visual_arousal_label说明",-0.0647609135784878,0.217567267030625,-0.297659268613104,0.765963233887867,0.937291530268546,0.611896115398914,1.43572640944194
"text_arousal_label说明:visual_arousal_label说明",-0.215699964859091,0.166220885352492,-1.29767065312926,0.194400532223798,0.805977087048523,0.581878916497914,1.11638185613751
