"variable","n","missing","mean","sd","median","p25","p75","min","max"
"comment_count",461,0,776.477223427335,1705.87953663259,99,18,580,0,11736
"visual_segment_count",461,0,25.4880694143167,54.3376957869825,10,4,25,1,602
"visual_total_duration",461,0,87.824295010846,173.910751523377,36,11,82,4,1591
"image_text_count",461,0,24.468546637744,47.5301001637783,10,4,25,1,466
"comment_count_effective",461,0,909.19305856833,2215.4374687327,100,20,592,1,21588
"anger_count",461,0,106.232104121475,233.37612003345,9,1,79,0,1791
"anger_rate",461,0,0.100525090015184,0.0883006636586817,0.089116719,0.026315789,0.155458142,0,0.5
"anger_mean_score",461,0,0.101119814030369,0.0879858198505067,0.090301957,0.026573559,0.155758543,6.73e-05,0.498784878
"visual_arousal_share",461,0,0.77100531670282,0.200031032471267,0.775862,0.583333,1,0.357143,1
"text_arousal_confidence_num",0,461,NA,NA,NA,NA,NA,NA,NA
